ASV	Domain	Phylum	Class	Order	Family	Genus	Species	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
31774b2ab198d7b5abc9f0d6e8a5ffc2	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	NA	4.745632816304028	2.627599714416872	0.6352932938655517	4.1360419506851525	3.533476219161073e-5	4.833614263903672e-4
ab149525cad479f6599c7923acc49691	d__Bacteria	p__Bacillota.51	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospiraceae_UCG-010	NA	3.9323784991725783	2.643768798626435	0.5866707147248635	4.506392994009097	6.5938913776927315e-6	1.2343301929821306e-4
824b9c5e131ccef5ab3286cfde31640c	d__Bacteria	p__Bacteroidota.16	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA	64.81439955032536	2.6569765958105784	0.7733971312985974	3.4354621814400788	5.915440209573864e-4	0.005090140890012349
e02967778c804350d971534895b0dfae	d__Bacteria	p__Bacillota.52	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	NA	NA	29.807346424560482	2.6759752123564295	0.6929698185827232	3.861604272794148	1.1264491713578951e-4	0.0011783541821949745
24646f903382ae52da1b45805982e09f	d__Bacteria	p__Bacillota.53	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Extibacter	NA	9.588801746311814	2.6770937813414433	0.6566174418182524	4.077098186621802	4.560123973362101e-5	5.914406478986047e-4
2c5e87b291147c04e1b8d1c808b1aee0	d__Bacteria	p__Actinomycetota.3	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	NA	26.774412629915773	2.690102798511112	0.7338185088488315	3.665896629850856	2.464734771993289e-4	0.002412726607079669
394eda29c886632f514dd94b58381186	d__Bacteria	p__Pseudomonadota.5	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Haemophilus	NA	17.08632161206177	2.696243906130841	0.6709540274202654	4.018522575231514	5.856419894602463e-5	7.021123626450369e-4
504efe2f63f610a0f92e8cd040e2f916	d__Bacteria	p__Bacillota.54	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Negativibacillus	NA	3.9233366239654783	2.713562472095218	0.5850203612128702	4.638406886333722	3.511050518396124e-6	7.20440558293974e-5
f483115cf9def110ac01dc2ddc065a6c	d__Bacteria	p__Fusobacteriota.1	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	NA	4.379558824599629	2.8209981597319573	0.6149378614992722	4.58745238560221	4.486877171270699e-6	8.865736929158955e-5
3f49f2e33639f81618c76b5807f6498c	d__Bacteria	p__Bacillota.55	c__Clostridia	o__Oscillospirales	f__[Eubacterium]_coprostanoligenes_group	g__Incertae_Sedis	NA	4.424548929651018	2.8372425037839553	0.5864367176461166	4.8381051499849645	1.3108279304535039e-6	3.108118670653086e-5
c2da7cc0247443dccd2e3d6a62f7be45	d__Bacteria	p__Bacillota.56	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UCG-005	NA	23.846360390553787	2.925453609058069	0.7044646427948213	4.152733056199843	3.285278928207404e-5	4.612358705785921e-4
4fba6fef450158c1bd1cbcb5a0e8f5e5	d__Bacteria	p__Bacteroidota.17	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Segatella	NA	26.769234187710516	2.9583031512371445	0.7337806741597017	4.031590440324533	5.540066952626468e-5	6.794541883278668e-4
